Host,Port,Type,Country,Country code,City
47.100.106.114, 55189, socks5, China, CN, 
47.100.106.114, 54720, socks5, China, CN, 
60.167.112.245, 9999, https, China, CN, Wuhu
47.100.106.114, 56061, socks5, China, CN, 
106.14.222.35, 52590, socks5, China, CN, 
47.100.106.114, 53745, socks5, China, CN, 
180.103.58.35, 9999, https, China, CN, Taizhou
36.89.240.9, 8080, https, Indonesia, ID, Surabaya
182.32.162.3, 9999, https, China, CN, Jinan
182.148.206.79, 9999, https, China, CN, Chengdu
106.14.222.35, 58702, socks5, China, CN, 
47.100.106.114, 57139, socks5, China, CN, 
171.35.211.188, 9999, https, China, CN, 
175.44.108.87, 9999, https, China, CN, Putian
125.117.215.115, 9999, https, China, CN, Dongyang
106.14.222.35, 59480, socks5, China, CN, 
45.70.248.151, 45357, socks4, Brazil, BR, Pentecoste
47.100.106.114, 56127, socks5, China, CN, 
183.166.70.85, 9999, https, China, CN, 
123.169.161.195, 9999, https, China, CN, 
106.14.222.35, 53745, socks5, China, CN, 
106.14.222.35, 51801, socks5, China, CN, 
106.14.222.35, 61988, socks5, China, CN, 
47.100.106.114, 49377, socks5, China, CN, 
106.14.222.35, 64964, socks5, China, CN, 
47.100.106.114, 53102, socks5, China, CN, 
47.100.106.114, 64914, socks5, China, CN, 
106.14.222.35, 64350, socks5, China, CN, 
125.108.69.234, 9000, https, China, CN, Wenzhou
106.14.222.35, 56980, socks5, China, CN, 
106.14.222.35, 49760, socks5, China, CN, 
106.14.222.35, 57996, socks5, China, CN, 
183.166.71.59, 9999, https, China, CN, 
47.100.106.114, 56156, socks5, China, CN, 
114.239.150.35, 9999, https, China, CN, Suqian
47.100.106.114, 59881, socks5, China, CN, 
123.169.161.216, 9999, https, China, CN, 
106.14.222.35, 62610, socks5, China, CN, 
36.249.53.46, 9999, https, China, CN, Quanzhou
106.14.222.35, 62722, socks5, China, CN, 
60.168.81.195, 8888, https, China, CN, Hefei
47.100.106.114, 61242, socks5, China, CN, 
47.100.106.114, 55384, socks5, China, CN, 
106.14.222.35, 62137, socks5, China, CN, 
106.14.222.35, 55212, socks5, China, CN, 
42.203.37.59, 9999, https, China, CN, Anshan
200.212.2.70, 61283, socks4, Brazil, BR, 
36.249.118.25, 9999, https, China, CN, Quanzhou
106.14.242.17, 54004, socks5, China, CN, 
177.66.255.221, 8291, socks4, Brazil, BR, Valenca
223.199.164.78, 53281, https, China, CN, Haikou
47.100.106.114, 50993, socks5, China, CN, 
110.244.12.11, 9999, https, China, CN, 
47.100.106.114, 62975, socks5, China, CN, 
183.166.97.48, 9999, https, China, CN, 
106.14.222.35, 55082, socks5, China, CN, 
113.195.157.93, 9999, https, China, CN, 
183.166.97.106, 9999, https, China, CN, 
106.14.222.35, 56130, socks5, China, CN, 
163.204.245.162, 9999, https, China, CN, 
124.81.88.171, 8080, https, Indonesia, ID, Karawang
106.14.222.35, 53481, socks5, China, CN, 
106.14.222.35, 49381, socks5, China, CN, 
47.100.106.114, 58333, socks5, China, CN, 
182.32.162.100, 9999, https, China, CN, Jinan
47.100.106.114, 64775, socks5, China, CN, 
47.100.106.114, 52555, socks5, China, CN, 
106.14.222.35, 56932, socks5, China, CN, 
47.100.106.114, 53914, socks5, China, CN, 
119.133.18.80, 9999, https, China, CN, Changsha
202.148.29.178, 8080, https, Indonesia, ID, 
36.92.83.178, 8080, https, Indonesia, ID, Jakarta
106.14.222.35, 61083, socks5, China, CN, 
122.138.145.180, 9999, https, China, CN, 
47.100.106.114, 55211, socks5, China, CN, 
1.198.73.14, 9999, https, China, CN, 
113.194.20.70, 9999, https, China, CN, 
36.67.24.109, 37641, https, Indonesia, ID, Jakarta
175.43.34.20, 9999, https, China, CN, 
125.117.212.92, 9999, https, China, CN, Dongyang
47.100.106.114, 63748, socks5, China, CN, 
106.14.222.35, 64318, socks5, China, CN, 
106.14.222.35, 57982, socks5, China, CN, 
47.100.106.114, 58556, socks5, China, CN, 
163.204.244.48, 9999, https, China, CN, 
125.108.100.206, 9000, https, China, CN, Wenzhou
101.132.118.170, 8080, https, China, CN, 
106.14.222.35, 54528, socks5, China, CN, 
106.14.222.35, 61071, socks5, China, CN, 
171.35.162.191, 9999, https, China, CN, 
106.14.243.103, 58124, socks5, China, CN, 
49.84.190.67, 8118, https, China, CN, Suzhou
125.108.127.85, 9000, https, China, CN, Wenzhou
106.14.222.35, 56798, socks5, China, CN, 
47.100.106.114, 56784, socks5, China, CN, 
47.100.106.114, 58774, socks5, China, CN, 
125.110.101.130, 9000, https, China, CN, Wenzhou
47.100.106.114, 64634, socks5, China, CN, 
106.14.222.35, 54704, socks5, China, CN, 
106.14.222.35, 49752, socks5, China, CN, 
47.100.106.114, 63840, socks5, China, CN, 
106.14.222.35, 60804, socks5, China, CN, 
47.100.106.114, 53996, socks5, China, CN, 
106.14.222.35, 62069, socks5, China, CN, 
110.243.16.162, 9999, https, China, CN, 
182.34.26.228, 9999, https, China, CN, Yantai
47.100.106.114, 58918, socks5, China, CN, 
106.14.222.35, 60219, socks5, China, CN, 
106.14.222.35, 54118, socks5, China, CN, 
47.100.106.114, 54097, socks5, China, CN, 
47.100.106.114, 52565, socks5, China, CN, 
47.100.106.114, 58969, socks5, China, CN, 
106.14.222.35, 49290, socks5, China, CN, 
117.68.190.147, 8118, https, China, CN, Hefei
47.100.106.114, 62225, socks5, China, CN, 
200.9.67.243, 1080, socks4, Brazil, BR, 
106.14.222.35, 53537, socks5, China, CN, 
171.13.102.75, 9999, https, China, CN, 
106.14.222.35, 60722, socks5, China, CN, 
47.96.148.179, 808, https, China, CN, 
47.100.106.114, 57033, socks5, China, CN, 
47.100.106.114, 56982, socks5, China, CN, 
47.100.106.114, 51139, socks5, China, CN, 
47.100.106.114, 53794, socks5, China, CN, 
47.100.106.114, 63292, socks5, China, CN, 
168.181.128.178, 4145, socks4, Brazil, BR, Maceió
113.121.65.89, 9999, https, China, CN, 
177.73.250.193, 55226, socks4, Brazil, BR, Carapicuiba
177.10.125.1, 4145, socks4, Brazil, BR, Sao Bento do Sapucai
183.166.103.63, 9999, https, China, CN, 
47.100.106.114, 59547, socks5, China, CN, 
118.112.195.128, 9999, https, China, CN, Chengdu
106.14.222.35, 56648, socks5, China, CN, 
47.100.106.114, 53573, socks5, China, CN, 
47.100.106.114, 58537, socks5, China, CN, 
47.100.106.114, 60792, socks5, China, CN, 
106.14.222.35, 58042, socks5, China, CN, 
125.108.72.179, 9000, https, China, CN, Wenzhou
47.100.106.114, 60996, socks5, China, CN, 
106.14.222.35, 53820, socks5, China, CN, 
36.250.156.180, 9999, https, China, CN, Putian
119.50.77.103, 8080, https, China, CN, Longjing
106.14.222.35, 51597, socks5, China, CN, 
47.100.106.114, 56808, socks5, China, CN, 
175.43.57.40, 9999, https, China, CN, 
106.14.222.35, 55914, socks5, China, CN, 
138.94.189.96, 53461, socks4, Brazil, BR, Balneario
106.14.222.35, 54882, socks5, China, CN, 
180.118.128.198, 9000, https, China, CN, 
106.14.222.35, 49459, socks5, China, CN, 
123.231.226.114, 47562, https, Indonesia, ID, Jakarta
114.221.174.185, 8118, https, China, CN, Nanjing
